epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3379.2,1.03268,0.5771,0.98603,0.95925,0.93651,0.95255,0.6622,0.97854,0.43719,1.01197,0.000401938,0.000401938,0.000401938
43,3456.17,1.0306,0.57598,0.98364,0.95927,0.9378,0.95297,0.65463,1.00841,0.44481,1.01731,0.000392563,0.000392563,0.000392563
44,3519.55,1.02568,0.56748,0.9869,0.95984,0.93627,0.9529,0.65734,1.00646,0.44252,1.01901,0.000383113,0.000383113,0.000383113
45,3582.96,1.01823,0.5696,0.98307,0.96183,0.93853,0.95449,0.66107,0.9798,0.43396,1.00307,0.000373596,0.000373596,0.000373596
46,3647.35,1.02663,0.5681,0.98307,0.96184,0.93659,0.9521,0.66252,0.97661,0.43581,1.00461,0.000364022,0.000364022,0.000364022
47,3710.36,1.00493,0.55042,0.97401,0.95928,0.94036,0.95211,0.66236,0.98604,0.4417,1.01015,0.0003544,0.0003544,0.0003544
48,3773.99,1.00877,0.55163,0.97431,0.9641,0.93539,0.95382,0.66298,0.98628,0.43717,1.00803,0.00034474,0.00034474,0.00034474
49,3843.84,1.01362,0.55505,0.97794,0.96322,0.93826,0.95385,0.66329,0.987,0.42887,1.00973,0.000335051,0.000335051,0.000335051
50,3920.64,1.00699,0.55305,0.97667,0.96371,0.93921,0.95283,0.66319,0.97963,0.42694,1.0072,0.000325343,0.000325343,0.000325343
51,3999.46,1.00656,0.55599,0.97582,0.96487,0.93931,0.95359,0.66573,0.97283,0.42296,1.00468,0.000315625,0.000315625,0.000315625
52,4076.04,0.988,0.53214,0.96897,0.96295,0.93998,0.95379,0.66425,0.97643,0.42149,1.00817,0.000305907,0.000305907,0.000305907
53,4153.13,0.99805,0.54441,0.97483,0.96412,0.93932,0.95417,0.66183,0.99436,0.42982,1.00831,0.000296199,0.000296199,0.000296199
54,4229.07,0.99549,0.53366,0.97272,0.96092,0.94121,0.95233,0.66298,0.97461,0.42279,1.00692,0.00028651,0.00028651,0.00028651
55,4303.2,0.99482,0.53922,0.97385,0.96157,0.94052,0.95331,0.66532,0.97254,0.41985,1.0064,0.00027685,0.00027685,0.00027685
56,4380.37,0.9853,0.53055,0.96945,0.96324,0.94074,0.95308,0.66531,0.96945,0.42285,1.00728,0.000267228,0.000267228,0.000267228
57,4457.96,0.9836,0.52974,0.9693,0.96331,0.93852,0.95384,0.66503,0.97315,0.42124,1.00421,0.000257654,0.000257654,0.000257654
58,4535.39,0.97667,0.52385,0.96965,0.96375,0.94137,0.95309,0.66448,0.9706,0.41381,1.00946,0.000248137,0.000248137,0.000248137
59,4612.8,0.97798,0.51898,0.96608,0.96373,0.94262,0.95351,0.6651,0.97883,0.41748,1.00707,0.000238687,0.000238687,0.000238687
60,4691.87,0.9736,0.51939,0.96895,0.96584,0.94316,0.95698,0.6667,0.98216,0.4139,1.0078,0.000229312,0.000229312,0.000229312
61,4771.29,0.97418,0.5126,0.96448,0.96624,0.94135,0.95392,0.66718,0.96534,0.41039,1.00188,0.000220023,0.000220023,0.000220023
62,4851.06,0.96854,0.51242,0.96496,0.96469,0.94386,0.95471,0.66538,0.96842,0.4101,1.00403,0.000210828,0.000210828,0.000210828
63,4927.53,0.96461,0.50988,0.96106,0.96659,0.94288,0.95428,0.6687,0.97021,0.41088,1.00293,0.000201736,0.000201736,0.000201736
64,5004.96,0.9607,0.50763,0.9661,0.96595,0.94407,0.95605,0.66885,0.9736,0.40817,1.00591,0.000192757,0.000192757,0.000192757
65,5082.54,0.96137,0.50468,0.96316,0.96418,0.94432,0.95382,0.66861,0.96022,0.40771,1.00244,0.0001839,0.0001839,0.0001839
66,5160.14,0.95139,0.498,0.96027,0.96825,0.94188,0.95554,0.67014,0.96463,0.40566,1.00328,0.000175172,0.000175172,0.000175172
67,5240.86,0.95218,0.4954,0.95807,0.96696,0.9443,0.95514,0.66876,0.96559,0.40566,1.00085,0.000166582,0.000166582,0.000166582
68,5318.61,0.94724,0.49291,0.95515,0.96625,0.94304,0.95445,0.66829,0.96826,0.40388,1.0032,0.00015814,0.00015814,0.00015814
69,5396.8,0.95093,0.49143,0.95856,0.96606,0.94442,0.95476,0.66892,0.95793,0.39714,1.00222,0.000149854,0.000149854,0.000149854
70,5473.97,0.94246,0.48638,0.95723,0.96768,0.94279,0.95332,0.66914,0.9547,0.39564,1.00131,0.00014173,0.00014173,0.00014173
71,5552.79,0.95113,0.48937,0.96085,0.96405,0.9438,0.9538,0.66977,0.96021,0.39612,1.00095,0.000133779,0.000133779,0.000133779
72,5631.5,0.94238,0.485,0.95406,0.9653,0.94457,0.95457,0.67034,0.95776,0.3987,0.99925,0.000126007,0.000126007,0.000126007
73,5708.71,0.93059,0.48035,0.94966,0.96773,0.94151,0.95531,0.67181,0.95742,0.40074,0.99676,0.000118422,0.000118422,0.000118422
74,5786.43,0.93615,0.48214,0.95458,0.96937,0.94091,0.95557,0.6721,0.95835,0.39622,0.99647,0.000111032,0.000111032,0.000111032
75,5863.75,0.93931,0.47908,0.95347,0.96605,0.94568,0.95602,0.67076,0.96023,0.39575,0.99913,0.000103843,0.000103843,0.000103843
76,5938.37,0.93651,0.47826,0.95283,0.96763,0.94285,0.95611,0.67061,0.96241,0.39738,1,9.68638e-05,9.68638e-05,9.68638e-05
77,6006.42,0.929,0.47966,0.95117,0.96892,0.94476,0.95693,0.67214,0.9549,0.39477,0.99673,9.01003e-05,9.01003e-05,9.01003e-05
78,6083.26,0.93211,0.47505,0.95142,0.96586,0.94451,0.95512,0.67135,0.95217,0.39464,0.997,8.35594e-05,8.35594e-05,8.35594e-05
79,6158.82,0.92371,0.47106,0.9477,0.96452,0.94595,0.95575,0.67193,0.95515,0.39103,0.99986,7.72475e-05,7.72475e-05,7.72475e-05
80,6234.47,0.92897,0.46854,0.95065,0.96793,0.94485,0.95573,0.6715,0.95329,0.39041,0.99879,7.11708e-05,7.11708e-05,7.11708e-05
81,6311.05,0.92558,0.4683,0.95011,0.96854,0.94489,0.9556,0.67157,0.95278,0.38976,0.99782,6.53354e-05,6.53354e-05,6.53354e-05
82,6390.25,0.92077,0.4683,0.94732,0.96776,0.94579,0.95541,0.67091,0.95204,0.39072,0.99806,5.97469e-05,5.97469e-05,5.97469e-05
83,6474.1,0.91765,0.45915,0.9466,0.96863,0.94461,0.95536,0.67134,0.95168,0.39101,0.99887,5.4411e-05,5.4411e-05,5.4411e-05
84,6557.68,0.9131,0.45813,0.94492,0.9689,0.94472,0.95582,0.67214,0.95427,0.39054,0.99838,4.93329e-05,4.93329e-05,4.93329e-05
85,6641.55,0.9192,0.46068,0.94652,0.96807,0.94624,0.9563,0.67313,0.94972,0.39027,0.99581,4.45176e-05,4.45176e-05,4.45176e-05
86,6721.33,0.92196,0.46295,0.94881,0.96718,0.94571,0.95603,0.67247,0.95087,0.38955,0.99749,3.99699e-05,3.99699e-05,3.99699e-05
87,6797.66,0.91624,0.46153,0.94723,0.96773,0.94566,0.9555,0.67248,0.95364,0.39143,0.99743,3.56941e-05,3.56941e-05,3.56941e-05
88,6875.01,0.91432,0.4585,0.94855,0.96822,0.94552,0.95562,0.67226,0.95326,0.3919,0.99775,3.16947e-05,3.16947e-05,3.16947e-05
